,lneur,r-mkt,lncpi,lnipsa,lntr
1990-01,#N/A,#N/A,#N/A,#N/A,#N/A
1990-02,#N/A,#N/A,#N/A,#N/A,#N/A
1990-03,#N/A,#N/A,#N/A,#N/A,#N/A
1990-04,#N/A,#N/A,#N/A,#N/A,#N/A
1990-05,#N/A,#N/A,#N/A,#N/A,#N/A
1990-06,#N/A,#N/A,#N/A,#N/A,#N/A
1990-07,#N/A,#N/A,#N/A,#N/A,#N/A
1990-08,#N/A,#N/A,#N/A,#N/A,#N/A
1990-09,#N/A,#N/A,#N/A,#N/A,#N/A
1990-10,#N/A,#N/A,#N/A,#N/A,#N/A
1990-11,#N/A,#N/A,#N/A,#N/A,#N/A
1990-12,#N/A,#N/A,#N/A,#N/A,#N/A
1991-01,#N/A,#N/A,#N/A,#N/A,#N/A
1991-02,#N/A,#N/A,#N/A,#N/A,#N/A
1991-03,#N/A,#N/A,#N/A,#N/A,#N/A
1991-04,#N/A,#N/A,#N/A,#N/A,#N/A
1991-05,#N/A,#N/A,#N/A,#N/A,#N/A
1991-06,#N/A,#N/A,#N/A,#N/A,#N/A
1991-07,#N/A,#N/A,#N/A,#N/A,#N/A
1991-08,#N/A,#N/A,#N/A,#N/A,#N/A
1991-09,#N/A,#N/A,#N/A,#N/A,#N/A
1991-10,#N/A,#N/A,#N/A,#N/A,#N/A
1991-11,#N/A,#N/A,#N/A,#N/A,#N/A
1991-12,#N/A,#N/A,#N/A,#N/A,#N/A
1992-01,#N/A,#N/A,#N/A,#N/A,#N/A
1992-02,#N/A,#N/A,#N/A,#N/A,#N/A
1992-03,#N/A,#N/A,#N/A,#N/A,#N/A
1992-04,#N/A,#N/A,#N/A,#N/A,#N/A
1992-05,#N/A,#N/A,#N/A,#N/A,#N/A
1992-06,#N/A,#N/A,#N/A,#N/A,#N/A
1992-07,#N/A,#N/A,#N/A,#N/A,#N/A
1992-08,#N/A,#N/A,#N/A,#N/A,#N/A
1992-09,#N/A,#N/A,#N/A,#N/A,#N/A
1992-10,#N/A,#N/A,#N/A,#N/A,#N/A
1992-11,#N/A,#N/A,#N/A,#N/A,#N/A
1992-12,#N/A,#N/A,#N/A,#N/A,#N/A
1993-01,-0.034850478,0.136,-0.256730998,-0.02330614,-3.368018478
1993-02,-0.054045133,0.1447,-0.24372642,-0.004175371,-3.088229106
1993-03,-0.038138932,0.1522,-0.237943584,-0.031219648,-2.449633504
1993-04,-0.034039134,0.1889,-0.23221096,-0.016152882,-2.113759175
