,lneur,r-mkt,lncpi,lnipsa,lntr
1990-01,-0.962960675,0.273,-1.33424843,0.134565626,-2.42061452
1990-02,-0.924899214,0.273,-1.286362939,0.099215848,-2.573291515
1990-03,-0.924711536,0.286,-1.265082728,0.091691358,-2.462862025
1990-04,-0.921427835,0.285,-1.241687581,0.091691358,-2.513114683
1990-05,-0.933424428,0.289,-1.243221814,0.087149337,-2.578748394
1990-06,-0.922247288,0.293,-1.214279975,0.074935444,-2.585846906
1990-07,-0.896822745,0.29,-1.213782895,0.02614528,-2.743495183
1990-08,-0.892998005,0.298,-1.192030885,0.076470364,-2.647505263
1990-09,-0.893180379,0.324,-1.174557404,0.056330256,-2.572170022
1990-10,-0.879696912,0.333,-1.161207655,0.043731665,-2.504204937
1990-11,-0.881731244,0.334,-1.142407475,0.106684143,-2.127882352
1990-12,-0.860713238,0.337,-1.12622812,0.027756884,-2.4160297
1991-01,-0.729102958,0.342,-1.041063343,0.061014106,-2.197779252
1991-02,-0.737443033,0.345,-0.99949945,-0.003316753,-1.886583559
1991-03,-0.798681276,0.347,-0.970055047,-0.063214894,-1.949162386
1991-04,-0.789445106,0.349,-0.956035674,-0.057937837,-1.922884076
1991-05,-0.799281705,0.349,-0.92899356,-0.090026152,-1.99947888
1991-06,-0.820281942,0.347,-0.918489164,-0.143992734,-2.062842557
1991-07,-0.800361286,0.352,-0.883059898,-0.136373649,-1.998172214
1991-08,-0.797558582,0.353,-0.897896298,-0.192974121,-1.691853788
1991-09,-0.767397093,0.349,-0.881588293,-0.225630084,-1.519909031
1991-10,-0.764570809,0.341,-0.869144318,-0.219425307,-1.340015497
1991-11,-0.706198583,0.34,-0.858550164,-0.213258792,-1.291100346
1991-12,-0.668248377,0.324,-0.856114533,-0.242366876,-1.113022086
1992-01,-0.702253542,0.316,-0.799248178,-0.20713007,-1.112102403
1992-02,-0.712045145,0.312,-0.773042268,-0.194984172,-1.073069232
1992-03,-0.691579688,0.288,-0.755094439,-0.194984172,-0.994096772
1992-04,-0.700930306,0.274,-0.742452342,-0.1889661,-0.938129997
1992-05,-0.687216926,0.272,-0.725841048,-0.205095481,-0.863715095
1992-06,-0.641151128,0.253,-0.720933762,-0.192974121,-0.83248806
1992-07,-0.622040358,0.197,-0.718470194,-0.209168807,-0.83810629
1992-08,-0.594486738,0.171,-0.710326887,-0.276705014,-0.780601574
1992-09,-0.579591168,0.179,-0.687094194,-0.194984172,-0.76021397
1992-10,-0.624379683,0.167,-0.662096515,-0.17309275,-0.851389129
1992-11,-0.623823776,0.142,-0.645983162,-0.199016435,-0.894967293
1992-12,-0.625818119,0.147,-0.635406612,-0.119440037,-0.995555687
1993-01,-0.620190979,0.146,-0.569225563,-0.255105902,-0.908933299
1993-02,-0.612698181,0.141,-0.552476594,-0.186968097,-0.963748512
1993-03,-0.575344981,0.134,-0.544906004,-0.157467432,-0.854122327
1993-04,-0.568865426,0.105,-0.536697676,-0.142082514,-0.794716941
1993-05,-0.570239979,0.117,-0.532602925,-0.169163472,-0.858014576
1993-06,-0.583875659,0.136,-0.529903274,-0.132585766,-0.91026473
1993-07,-0.562393207,0.168,-0.52449456,-0.115715638,-0.852773408
1993-08,-0.541297835,0.17,-0.50715389,-0.175063194,-0.827380561
1993-09,-0.483310644,0.221,-0.479113257,-0.157467432,-0.73397683
1993-10,-0.499536968,0.241,-0.463180552,-0.159407297,-0.741796637
1993-11,-0.50975529,0.244,-0.457478365,-0.130697191,-0.677494867
1993-12,-0.511440618,0.243,-0.443751751,-0.108308196,-0.580656653
1994-01,-0.507953608,0.234,-0.411963506,-0.102788403,-0.466898794
1994-02,-0.474551219,0.234,-0.398816166,-0.106464878,-0.494618512
1994-03,-0.46286865,0.236,-0.388802402,-0.108308196,-0.611155913
1994-04,-0.459599358,0.242,-0.376518698,-0.099125396,-0.656046389
1994-05,-0.444458994,0.243,-0.364410621,-0.086409511,-0.675776403
1994-06,-0.419064363,0.249,-0.354155205,-0.075637414,-0.693701855
1994-07,-0.421280143,0.271,-0.341170555,-0.06498012,-0.719503863
1994-08,-0.340105039,0.31,-0.32891629,-0.049204157,-0.604351627
1994-09,-0.333839181,0.304,-0.305951247,-0.038823441,-0.565844486
1994-10,-0.313880987,0.297,-0.285022096,-0.04227172,-0.553958005
1994-11,-0.31593937,0.296,-0.26618228,-0.038823441,-0.519814232
1994-12,-0.308415705,0.316,-0.251219527,-0.006644543,-0.575375094
1995-01,-0.282690268,0.319,-0.209948771,-0.020067563,-0.54694905
1995-02,-0.240479042,0.322,-0.18321882,-0.016694879,-0.561994537
1995-03,-0.117160471,0.33,-0.144438939,-0.011657085,-0.571300544
1995-04,-0.104164967,0.334,-0.117326405,-0.011657085,-0.617444563
1995-05,-0.08943095,0.339,-0.093925249,0.019672766,-0.587182386
1995-06,-0.067566874,0.328,-0.081936027,-0.021758181,-0.464248859
1995-07,-0.062122565,0.326,-0.074035579,-0.006644543,-0.373135112
1995-08,-0.07205709,0.327,-0.071079022,0.00165426,-0.397888429
1995-09,-0.040829708,0.318,-0.050663146,-0.001657001,-0.309656637
1995-10,-0.021107329,0.303,-0.02782453,-0.003316753,-0.243983583
1995-11,-0.015746799,0.298,-0.011955514,-0.028549378,-0.29287272
1995-12,0,0.301,0,0,0
1996-01,0.001038324,0.291,0.042983196,-0.0083126,0.007744915
1996-02,0.013472455,0.25,0.065513797,0.003305788,-0.043280621
1996-03,0.021860505,0.25,0.084194727,0.01804807,-0.103299889
1996-04,0.013875218,0.241,0.099213109,-0.004979263,-0.215339594
1996-05,0.022017135,0.241,0.119722916,0.024531075,-0.230276864
1996-06,0.032953934,0.24,0.128605924,0.006600684,-0.200923305
1996-07,0.06043871,0.239,0.132622123,0.01804807,-0.241107699
1996-08,0.070674266,0.234,0.135817066,0.014790738,-0.210814136
1996-09,0.06378742,0.225,0.150101081,0.019672766,-0.148078332
1996-10,0.075059516,0.226,0.162616731,0.029365895,-0.168980515
1996-11,0.077961639,0.221,0.171128351,0.048474757,-0.202470238
1996-12,0.086382149,0.217,0.180338871,0.051624365,-0.208560607
1997-01,0.065708838,0.218,0.216355353,0.068772097,-0.283460269
1997-02,0.066151306,0.209,0.237504133,0.087149337,-0.329699005
1997-03,0.076651665,0.207,0.256088732,0.061014106,-0.344500502
1997-04,0.080569792,0.208,0.270159687,0.094707952,-0.418504582
1997-05,0.09780672,0.206,0.282645327,0.073398165,-0.362866818
1997-06,0.097057045,0.205,0.300416894,0.12730343,-0.37144101
1997-07,0.096206001,0.197,0.299063112,0.108171132,-0.377223422
1997-08,0.113235738,0.195,0.300416894,0.144644905,-0.365052808
1997-09,0.130435464,0.194,0.315215701,0.148933689,-0.377266046
1997-10,0.151350242,0.193,0.326502397,0.161690772,-0.318495279
1997-11,0.151223935,0.192,0.338308035,0.194934831,-0.31455849
1997-12,0.154595806,0.192,0.349338496,0.171501643,-0.353594514
1998-01,0.158542906,0.193,0.379207917,0.167308764,-0.329877858
1998-02,0.167507541,0.192,0.395356799,0.200369627,-0.274255333
1998-03,0.171149512,0.19,0.408824226,0.205775045,-0.231845695
1998-04,0.188664533,0.184,0.418500521,0.215164786,-0.179068209
1998-05,0.217523089,0.175,0.42987457,0.241516772,-0.167834089
1998-06,0.21943749,0.174,0.432847623,0.246704851,-0.220365414
1998-07,0.222122498,0.171,0.431062454,0.251866152,-0.205907794
1998-08,0.261033985,0.162,0.427494561,0.257000952,-0.242068955
1998-09,0.294582865,0.166,0.432847623,0.258280543,-0.309092231
1998-10,0.298613089,0.187,0.441714113,0.255719722,-0.37272041
1998-11,0.288704122,0.174,0.444652225,0.257000952,-0.318962763
1998-12,0.296758655,0.172,0.446991794,0.28353441,-0.250737406
1999-01,0.268448036,0.158,0.472406671,0.29346005,-0.287463294
1999-02,0.286064775,0.153,0.485449613,0.254436848,-0.238624838
1999-03,0.293878908,0.153,0.497202832,0.287268079,-0.304121946
1999-04,0.274044798,0.154,0.508819516,0.29346005,-0.321689316
1999-05,0.271393623,0.149,0.515399106,0.284780516,-0.314155943
1999-06,0.271780657,0.149,0.519754255,0.313020576,-0.248520676
1999-07,0.285990733,0.146,0.526807511,0.325054415,-0.203440079
1999-08,0.290484756,0.144,0.531124213,0.357998571,-0.204262316
1999-09,0.302180287,0.141,0.536480528,0.377483428,-0.153029462
1999-10,0.292483927,0.14,0.542355619,0.391012383,-0.16047301
1999-11,0.289588543,0.14,0.546071563,0.405465108,-0.097630333
1999-12,0.287752604,0.134,0.55346228,0.368361358,-0.089058
2000-01,0.293007419,0.122,0.568081839,0.430534541,-0.062883566
2000-02,0.294056488,0.107,0.57942498,0.443368942,-0.036085908
2000-03,0.303901529,0.105,0.588604455,0.472690414,-0.114268138
2000-04,0.303621407,0.108,0.596705135,0.463359087,-0.149328362
2000-05,0.308801614,0.108,0.6017223,0.491095841,-0.111192722
2000-06,0.309723675,0.108,0.607227345,0.516109652,-0.131073193
2000-07,0.313464033,0.106,0.618127453,0.528873694,-0.15734036
2000-08,0.314031319,0.106,0.623048439,0.521038198,-0.145650571
2000-09,0.322380472,0.107,0.634757023,0.557721848,-0.125594716
2000-10,0.327165874,0.111,0.641046444,0.537615857,-0.171356613
2000-11,0.330783023,0.118,0.6463301,0.550110013,-0.106917838
2000-12,0.331178906,0.118,0.649679702,0.551064667,-0.067777911
2001-01,0.32977308,0.115,0.664382966,0.58206762,-0.107624401
2001-02,0.33900616,0.111,0.678405082,0.558669266,-0.074557112
2001-03,0.34060044,0.11,0.688105798,0.521038198,-0.112995694
2001-04,0.323705074,0.111,0.694981663,0.547240571,-0.060804711
