,lneur,r-mkt,lncpi,lnipsa,lntr
1990-01,-1.114691597,#N/A,-2.224294414,-0.071103478,-1.877807339
1990-02,-1.120407113,#N/A,-2.077485188,-0.175143295,-1.820047895
1990-03,-1.12180138,#N/A,-2.0334496,-0.175612975,-1.719086116
1990-04,-1.113678437,#N/A,-1.968169705,-0.179007936,-1.681180195
1990-05,-1.120043271,#N/A,-1.924201385,-0.14939961,-1.479964906
1990-06,-1.108310428,#N/A,-1.886640948,-0.181941577,-1.39321001
1990-07,-1.062208638,#N/A,-1.839225303,-0.148288826,-1.276855023
1990-08,-1.040537778,#N/A,-1.821330089,-0.109509012,-1.173633814
1990-09,-1.041826751,#N/A,-1.776447492,-0.160757672,-1.051357842
1990-10,-1.01291852,#N/A,-1.720958523,-0.114026534,-1.027530103
1990-11,-1.003220928,#N/A,-1.673143953,-0.119642794,-1.039087891
1990-12,-0.995802738,0.543,-1.615805635,-0.172480356,-1.190546445
1991-01,-0.993428683,0.502,-1.495872912,-0.152690191,-1.153356035
1991-02,-1.013157021,0.674,-1.430684738,-0.229575804,-1.172376059
1991-03,-1.135280451,0.601,-1.386429423,-0.258464386,-1.232501708
1991-04,-1.144100918,0.632,-1.360563039,-0.283304653,-1.293571285
1991-05,-0.983686652,0.584,-1.334066262,-0.342580122,-1.349687137
1991-06,-1.001596571,0.561,-1.286690134,-0.349044783,-1.332201704
1991-07,-0.978166031,0.528,-1.286079074,-0.327487203,-1.285654292
1991-08,-0.97783771,0.392,-1.279563996,-0.363638593,-1.219837237
1991-09,-0.947898275,0.373,-1.237492555,-0.389296539,-1.216964557
1991-10,-0.94419379,0.387,-1.20576386,-0.359092901,-1.317434975
1991-11,-0.923661335,0.39,-1.173972883,-0.414031742,-1.306088908
1991-12,-0.868157861,0.367,-1.14369117,-0.382918121,-1.402915991
1992-01,-0.883521491,0.352,-1.071302745,-0.315489855,-1.481452665
1992-02,-0.75912162,0.35,-1.0532816,-0.30933374,-1.42142552
1992-03,-0.739566575,0.33,-1.033252181,-0.287236432,-1.39928337
1992-04,-0.733248719,0.354,-0.997099737,-0.271896767,-1.377162025
1992-05,-0.697182102,0.321,-0.957887823,-0.343691057,-1.380268194
1992-06,-0.665374872,0.313,-0.942216463,-0.306575804,-1.315145354
1992-07,-0.625823933,0.267,-0.928408901,-0.250657095,-1.272795992
1992-08,-0.590116977,0.257,-0.901810356,-0.301881856,-1.191323659
1992-09,-0.556532355,0.278,-0.850250874,-0.266921174,-1.261791972
1992-10,-0.576557345,0.218,-0.820782596,-0.265066277,-1.280823388
1992-11,-0.578741798,0.234,-0.797952632,-0.267436012,-1.308653432
1992-12,-0.566497583,0.265,-0.776329166,-0.232679606,-1.282105771
1993-01,-0.549715588,0.181,-0.736197216,-0.29367289,-1.368233311
1993-02,-0.544839508,0.238,-0.700568805,-0.274208693,-1.364724303
1993-03,-0.513592548,0.243,-0.682233891,-0.249536404,-1.418854529
1993-04,-0.497445778,0.24,-0.659484251,-0.231028958,-1.420679868
1993-05,-0.485524161,0.219,-0.641560189,-0.240257764,-1.443836748
1993-06,-0.491767092,0.286,-0.627644761,-0.20403268,-1.49997188
1993-07,-0.497432785,0.283,-0.616668945,-0.263434612,-1.4736931
1993-08,-0.373855527,0.243,-0.593848624,-0.234724506,-1.45318055
1993-09,-0.34595154,0.248,-0.569208208,-0.221603418,-1.398340279
1993-10,-0.341722688,0.271,-0.550269199,-0.256952643,-1.374935077
1993-11,-0.339305954,0.237,-0.510983198,-0.203100971,-1.397775947
1993-12,-0.33097537,0.252,-0.456495439,-0.187478193,-1.283854019
1994-01,-0.326344877,0.289,-0.438536894,-0.1979234,-1.280889174
1994-02,-0.295649925,0.254,-0.427681511,-0.165480094,-1.259614212
1994-03,-0.26348047,0.277,-0.407763649,-0.13297856,-1.102390204
1994-04,-0.245100909,0.248,-0.379092333,-0.153740215,-1.073253768
1994-05,-0.225245767,0.185,-0.362242055,-0.134201231,-1.080843104
1994-06,-0.201779171,0.236,-0.339441053,-0.122948161,-1.081537542
1994-07,-0.188792389,0.194,-0.324594245,-0.115510589,-0.987653123
1994-08,-0.162278665,0.184,-0.307711615,-0.047667531,-0.92074762
1994-09,-0.138162443,0.25,-0.263663305,-0.074403611,-0.925653095
1994-10,-0.120587333,0.234,-0.235069506,-0.137232172,-1.028568941
1994-11,-0.117218715,0.236,-0.217185242,-0.068341567,-0.921788384
1994-12,-0.089854627,0.2108,-0.19842047,-0.044483754,-0.927840103
1995-01,-0.065613355,0.266,-0.158269828,-0.049248442,-0.873841536
1995-02,-0.038688283,0.27,-0.137542785,-0.038321943,-0.788713517
1995-03,0.00841123,0.276,-0.120754392,-0.041104727,-0.693419315
1995-04,0.009125126,0.264,-0.098097842,-0.083298381,-0.509253161
1995-05,-0.028962035,0.261,-0.08017777,-0.007927969,-0.405762632
1995-06,-0.017152927,0.261,-0.070276699,-0.024191281,-0.337802474
1995-07,-0.003452503,0.259,-0.079281917,-0.025562182,-0.315554209
1995-08,-0.021226998,0.258,-0.07521498,0.012116103,-0.245921849
1995-09,-0.003847949,0.2408,-0.045608823,-0.009205707,-0.143555485
1995-10,0.008056081,0.248,-0.027763871,-0.009603559,-0.106127166
1995-11,0.014749182,0.248,-0.014864472,0.039901001,-0.051520959
1995-12,0,0.247,0,0,0
1996-01,-0.006525888,0.225,0.033352748,0.049739507,0.036087675
1996-02,0.014378129,0.227,0.048310933,0.049431421,0.129615715
1996-03,0.018461401,0.223,0.063191304,0.037897237,0.161488895
1996-04,0.009337496,0.22,0.084949695,0.06015835,0.152452253
1996-05,0.018923979,0.202,0.098855169,0.078140642,0.187675826
1996-06,0.037256808,0.209,0.108761438,0.003035799,0.166509845
1996-07,0.064626302,0.203,0.10773126,0.095843645,0.175483376
1996-08,0.072627886,0.175,0.112720762,0.081986551,0.185102965
1996-09,0.066959575,0.199,0.131575433,0.070994349,0.16157528
1996-10,0.07608143,0.189,0.145421062,0.1165013,0.169993581
1996-11,0.075237881,0.192,0.158371811,0.090676139,0.178250994
1996-12,0.071528566,0.212,0.171299231,0.102777054,0.18879167
1997-01,0.064556521,0.2147,0.199889231,0.141822867,0.19163452
1997-02,0.049179265,0.2165,0.210832275,0.13763666,0.194747893
1997-03,0.062874154,0.2278,0.218771797,0.088771671,0.17860207
1997-04,0.060474442,0.2206,0.228732603,0.20559538,0.205331996
1997-05,0.088659535,0.2341,0.234704529,0.141138605,0.23027518
1997-06,0.090202893,0.2267,0.249637991,0.185909181,0.271618765
1997-07,0.093075786,0.2192,0.247584143,0.187439135,0.255015261
1997-08,0.117154943,0.2337,0.248611594,0.163499544,0.284045807
1997-09,0.11822206,0.2335,0.262574613,0.213869652,0.290399355
1997-10,0.162302963,0.2253,0.27348562,0.214880689,0.344276841
1997-11,0.153143191,0.2452,0.285383532,0.199687453,0.336866672
1997-12,0.131262865,0.2217,0.295308733,0.229376636,0.323012132
1998-01,0.119173378,0.2555,0.325823727,0.223799277,0.389676318
1998-02,0.109330392,0.2374,0.342718185,0.240383553,0.485590598
1998-03,0.081284613,0.2416,0.348751476,0.230852734,0.490455898
1998-04,0.09505213,0.2383,0.355778128,0.241589272,0.551320885
1998-05,0.128175254,0.2316,0.359791495,0.228783347,0.565993669
1998-06,0.112046621,0.2244,0.36378882,0.232650181,0.570671394
1998-07,0.114212661,0.1941,0.359791495,0.244261004,0.660062429
1998-08,0.203483759,0.2014,0.353824644,0.216831709,0.661163737
1998-09,0.215581325,0.1809,0.361850937,0.222177472,0.60790085
1998-10,0.192672219,0.1891,0.36788709,0.201875385,0.623177703
1998-11,0.174147191,0.1757,0.372864342,0.18245527,0.62806567
1998-12,0.195877925,0.163,0.376809852,0.208536306,0.614933706
1999-01,0.212603486,0.1553,0.391959045,0.1698027,0.656845967
1999-02,0.254378854,0.1314,0.397748646,0.185698775,0.675640127
1999-03,0.246337416,0.1334,0.407309131,0.263663824,0.628054834
1999-04,0.218743003,0.1354,0.415832768,0.245120622,0.620884812
1999-05,0.209770474,0.1336,0.422416085,0.250394374,0.608435098
1999-06,0.187126105,0.133,0.424284366,0.244712947,0.585091389
1999-07,0.203461208,0.133,0.420533221,0.259850168,0.635736704
1999-08,0.222895991,0.1313,0.426160187,0.28059439,0.636421067
1999-09,0.264867515,0.1319,0.440987108,0.30312324,0.599343571
1999-10,0.265925321,0.1296,0.451962103,0.283142838,0.585279895
1999-11,0.252293408,0.1485,0.461020359,0.324250279,0.56960358
1999-12,0.213395297,0.1702,0.469997299,0.384024385,0.578770979
2000-01,0.201539548,0.1745,0.48771298,0.25309736,0.565959079
2000-02,0.180574436,0.1505,0.496454502,0.341494782,0.537561091
2000-03,0.161502551,0.1697,0.505120271,0.330378918,0.537616446
2000-04,0.17694022,0.1686,0.509420085,0.296270147,0.538742646
2000-05,0.193275713,0.1554,0.51627365,0.362716368,0.509622797
2000-06,0.220308795,0.1728,0.523920682,0.374477888,0.527263379
2000-07,0.174763906,0.1757,0.530675916,0.335766177,0.514150243
2000-08,0.147458302,0.1721,0.527304003,0.363842026,0.510480365
2000-09,0.166970023,0.1832,0.537375959,0.352043088,0.506262668
2000-10,0.157837794,0.1961,0.545695712,0.345677657,0.534210381
2000-11,0.143173909,0.1965,0.549834645,0.365288836,0.551788774
2000-12,0.13553265,0.1904,0.551479598,0.367737773,0.586605975
2001-01,0.120299713,0.1994,0.559683312,0.359538119,0.611513433
2001-02,0.112300658,0.2024,0.560502886,0.342134827,0.635697276
2001-03,0.072986189,0.1941,0.565387088,0.36258904,0.608346691
2001-04,0.047062358,0.1845,0.573477956,0.332127409,0.598209205
2001-05,0.009456198,0.1795,0.58469819,0.359950684,0.57150495
2001-06,0.004072791,0.176,0.583898216,0.328475352,0.573616319
2001-07,0.096974947,0.1553,0.580701352,0.351775782,0.601678915
2001-08,0.140810492,0.1707,0.577503711,0.371890163,0.622160904
2001-09,0.138600728,0.1537,0.580701352,0.314678088,0.615200823
2001-10,0.096259416,0.1688,0.58469819,0.359656012,0.63856071
2001-11,0.077011342,0.1534,0.585497524,0.35125086,0.534618929
2001-12,0.042442033,0.1192,0.587882323,0.322436968,0.551605544
2002-01,0.065848844,0.1285,0.595793927,0.348403565,0.541889274
2002-02,0.07738681,0.1105,0.596575147,0.343972677,0.544001182
2002-03,0.068465864,0.1108,0.598933705,0.328698297,0.567291821
2002-04,0.063015939,0.1084,0.603643428,0.330045044,0.57273108
2002-05,0.116682533,0.096,0.601295965,0.319956173,0.581839722
2002-06,0.179925167,0.1058,0.597365048,0.348949843,0.60663594
2002-07,0.191427005,0.0891,0.592634926,0.40747595,0.649480729
2002-08,0.190328243,0.0874,0.588669747,0.364282156,0.651130378
2002-09,0.194868925,0.0816,0.591841279,0.378265003,0.645875245
2002-10,0.166489605,0.0745,0.595002784,0.388615761,0.645981683
2002-11,0.166727547,0.072,0.594211014,0.379642964,0.655261968
2002-12,0.178943375,0.0736,0.595002784,0.376701658,0.662267324
2003-01,0.203685916,0.0716,0.598933705,0.383506533,0.683598621
2003-02,0.225994426,0.0628,0.599721745,0.384206528,0.731214354
2003-03,0.270621092,0.0645,0.602858473,0.379459988,0.707498061
2003-04,0.238944521,0.0565,0.604418543,0.407213692,0.70565819
2003-05,0.264682305,0.058,0.604418543,0.435621073,0.782259692
2003-06,0.279374831,0.058,0.605202274,0.420668312,0.738750708
2003-07,0.263433431,0.0547,0.600509165,0.506033959,0.736231929
2003-08,0.259830206,0.05,0.596575147,0.427264071,0.723101966
2003-09,0.3201477,0.0517,0.601295965,0.480176155,0.760129563
2003-10,0.328342092,0.0519,0.607540595,0.504819701,0.788173654
2003-11,0.33761482,0.0507,0.610652931,0.466762667,0.797250993
2003-12,0.338334761,0.05242,0.612978556,0.507763637,0.790795331
2004-01,0.347387752,0.0497,0.616839582,0.519227374,0.881703449
