,lneur,r-mkt,lncpi,lnipsa,lntr
1990-01,#N/A,#N/A,#N/A,#N/A,#N/A
1990-02,#N/A,#N/A,#N/A,#N/A,#N/A
1990-03,#N/A,#N/A,#N/A,#N/A,#N/A
1990-04,#N/A,#N/A,#N/A,#N/A,#N/A
1990-05,#N/A,#N/A,#N/A,#N/A,#N/A
1990-06,#N/A,#N/A,#N/A,#N/A,#N/A
1990-07,#N/A,#N/A,#N/A,#N/A,#N/A
1990-08,#N/A,#N/A,#N/A,#N/A,#N/A
1990-09,#N/A,#N/A,#N/A,#N/A,#N/A
1990-10,#N/A,#N/A,#N/A,#N/A,#N/A
1990-11,#N/A,#N/A,#N/A,#N/A,#N/A
1990-12,#N/A,#N/A,#N/A,#N/A,#N/A
1991-01,#N/A,#N/A,#N/A,#N/A,#N/A
1991-02,#N/A,#N/A,#N/A,#N/A,#N/A
1991-03,#N/A,#N/A,#N/A,#N/A,#N/A
1991-04,#N/A,#N/A,#N/A,#N/A,#N/A
1991-05,#N/A,#N/A,#N/A,#N/A,#N/A
1991-06,#N/A,#N/A,#N/A,#N/A,#N/A
1991-07,#N/A,#N/A,#N/A,#N/A,#N/A
1991-08,#N/A,#N/A,#N/A,#N/A,#N/A
1991-09,#N/A,#N/A,#N/A,#N/A,#N/A
1991-10,#N/A,#N/A,#N/A,#N/A,#N/A
1991-11,#N/A,#N/A,#N/A,#N/A,#N/A
1991-12,-0.854720053,#N/A,-1.109343117,-0.155333771,-2.787277661
1992-01,-0.861924466,#N/A,-0.981320601,-0.061857532,-2.681933197
1992-02,-0.605512675,#N/A,-0.863049927,-0.011614485,-2.441353181
1992-03,-0.552077683,#N/A,-0.758459564,-0.037649249,-2.175733096
1992-04,-0.545084992,#N/A,-0.693963046,-0.053068057,-1.998406942
1992-05,-0.53510443,#N/A,-0.624492979,-0.050180145,-1.767966227
1992-06,-0.555513907,#N/A,-0.588622577,-0.069433203,-1.463936965
1992-07,-0.523438169,#N/A,-0.581022078,-0.099629745,-1.166888695
1992-08,-0.470421687,#N/A,-0.578186719,-0.063074844,-1.016337119
1992-09,-0.412651331,#N/A,-0.543911975,-0.093643739,-0.95276619
1992-10,-0.402948794,#N/A,-0.510773164,-0.098076854,-0.938001659
1992-11,-0.376924744,0.7474,-0.476990048,-0.113874117,-0.926286758
1992-12,-0.362549858,0.6042,-0.469342837,-0.097061518,-0.933982659
1993-01,-0.357515492,0.3238,-0.432026247,-0.069227112,-0.941001915
1993-02,-0.34696911,0.8319,-0.414267128,-0.126197976,-0.96905092
