,lndem,r-mkt,r-bond,lncpi,lnipsa,lntr
1980-01,-0.355062741,0.127,0.114,-0.818816049,-0.429545975,-1.750782799
1980-02,-0.360418692,0.1114,0.115,-0.804181642,-0.438785948,-1.698709558
1980-03,-0.418319101,0.1197,0.117,-0.794543013,-0.417357338,-1.792225792
1980-04,-0.388265321,0.1236,0.116,-0.775540066,-0.412178774,-1.74610651
1980-05,-0.391811457,0.1249,0.117,-0.766172316,-0.437681464,-1.706566287
1980-06,-0.387068837,0.125,0.117,-0.761521144,-0.384584961,-1.625419214
1980-07,-0.394599641,0.125,0.115,-0.7545847,-0.311142671,-1.593394246
1980-08,-0.398052729,0.125,0.114,-0.743129821,-0.402327533,-1.603592484
1980-09,-0.406416737,0.125,0.115,-0.729554952,-0.405315476,-1.642905703
1980-10,-0.4355998,0.125,0.116,-0.718381652,-0.40126257,-1.666714117
1980-11,-0.431522346,0.125,0.117,-0.709532036,-0.397226023,-1.660305035
1980-12,-0.438967014,0.125,0.119,-0.702945844,-0.381658232,-1.680373094
1981-01,-0.476853045,0.125,0.1201,-0.694231192,-0.405315476,-1.821349293
1981-02,-0.459616595,0.125,0.1202,-0.685591829,-0.386470964,-1.720573016
1981-03,-0.452147322,0.1172,0.1174,-0.67277114,-0.396378296,-1.730547505
1981-04,-0.469844708,0.1057,0.1205,-0.660112744,-0.383538717,-1.688943655
1981-05,-0.485211482,0.11,0.1297,-0.645544328,-0.356510045,-1.855644308
1981-06,-0.491691539,0.11,0.1233,-0.639365111,-0.419306234,-1.836379148
1981-07,-0.493627908,0.11,0.1265,-0.637313829,-0.353664225,-1.873158904
1981-08,-0.485057243,0.1145,0.1258,-0.633223843,-0.356510045,-1.862837963
1981-09,-0.45458342,0.115,0.1267,-0.621053308,-0.365096421,-1.894298126
1981-10,-0.440257638,0.115,0.1266,-0.611023133,-0.35467966,-2.007481657
1981-11,-0.445536585,0.115,0.1252,-0.611023133,-0.384584961,-1.977082448
1981-12,-0.45329524,0.113,0.1254,-0.609029115,-0.370861906,-1.911875549
1982-01,-0.462928441,0.123,0.1262,-0.589304609,-0.35467966,-2.063743991
1982-02,-0.466966712,0.1245,0.126,-0.585405969,-0.363250266,-2.015149607
1982-03,-0.462554453,0.1156,0.1262,-0.571879193,-0.363250266,-1.875677863
1982-04,-0.448998955,0.115,0.1249,-0.56613755,-0.377699893,-1.912556516
1982-05,-0.447932399,0.115,0.1219,-0.547233396,-0.377699893,-2.059711775
1982-06,-0.459030698,0.115,0.1219,-0.543495073,-0.358547743,-2.161666946
1982-07,-0.457708864,0.115,0.1226,-0.536060095,-0.387520282,-2.171431179
1982-08,-0.463385996,0.115,0.1224,-0.539770674,-0.369005087,-2.310590513
1982-09,-0.460323184,0.1145,0.1234,-0.54163114,-0.367151709,-2.265851418
1982-10,-0.347208244,0.117,0.1242,-0.537913664,-0.382493567,-2.192722013
1982-11,-0.325360485,0.115,0.124,-0.534209956,-0.374793216,-2.039270307
1982-12,-0.311619989,0.115,0.1222,-0.523180432,-0.363250266,-1.889343533
1983-01,-0.319218309,0.11,0.1221,-0.512271233,-0.373757162,-2.035640456
1983-02,-0.313044291,0.12,0.122,-0.508661121,-0.358547743,-2.189558511
1983-03,-0.2990136,0.13,0.1244,-0.499692451,-0.359363986,-2.187132522
1983-04,-0.318935298,0.13,0.1262,-0.490803503,-0.341558761,-2.276518932
1983-05,-0.335317578,0.15,0.1326,-0.474999838,-0.329399951,-2.305118609
1983-06,-0.332748903,0.15,0.133,-0.464601131,-0.315626983,-2.295467837
1983-07,-0.353896053,0.15,0.134,-0.461158787,-0.361407514,-2.295774511
1983-08,-0.356861251,0.15,0.1296,-0.459442048,-0.318366443,-2.334441064
1983-09,-0.349387039,0.1667,0.1336,-0.452604415,-0.317387203,-2.539373155
1983-10,-0.341919521,0.1695,0.136,-0.449203051,-0.32663014,-2.332869829
1983-11,-0.349926406,0.167,0.1365,-0.440749915,-0.310170476,-2.25422338
1983-12,-0.354471943,0.167,0.1375,-0.440749915,-0.347189746,-2.09312872
1984-01,-0.364369723,0.175,0.1387,-0.432367636,-0.311142671,-1.974251986
1984-02,-0.341293645,0.175,0.141,-0.4290343,-0.32288334,-1.894609433
