,lndem,r-mkt,lncpi,lnipsa,lntr
1980-01,-0.378756448,0.1199,-0.786117642,-0.111815196,-0.316085777
1980-02,-0.377504374,0.1217,-0.775539669,-0.114798995,-0.288620949
1980-03,-0.393502515,0.1296,-0.764054309,-0.107936616,-0.242795835
1980-04,-0.381828792,0.124,-0.751671432,-0.107936616,-0.055687003
1980-05,-0.383586959,0.1261,-0.74350794,-0.132997048,-0.045599737
1980-06,-0.385584518,0.1243,-0.736399899,-0.127863383,-0.042284404
1980-07,-0.388382867,0.1204,-0.722376997,-0.11882173,0.01483732
1980-08,-0.385891015,0.1132,-0.712449001,-0.11882173,0.026553582
1980-09,-0.388176641,0.1137,-0.704598274,-0.138037515,0.030538264
1980-10,-0.40536246,0.1122,-0.693895277,-0.142168375,0.061061762
1980-11,-0.386796623,0.1074,-0.686188312,-0.148316224,0.062325677
1980-12,-0.393896078,0.1088,-0.67661149,-0.131939126,0.01797681
1981-01,-0.394150829,0.1074,-0.665259555,-0.136044821,0.067299275
1981-02,-0.374374465,0.1091,-0.655900448,-0.126942379,0.098584598
1981-03,-0.370899028,0.1172,-0.646628122,-0.146182296,0.114362744
1981-04,-0.365168275,0.1223,-0.632868957,-0.147255401,0.112387812
1981-05,-0.361327952,0.1603,-0.623806792,-0.134983672,0.093784906
1981-06,-0.357250804,0.1993,-0.61393041,-0.129971727,-0.053739981
1981-07,-0.364321154,0.1849,-0.597083722,-0.142168375,-0.077744569
1981-08,-0.354451579,0.175,-0.584854469,-0.142168375,-0.131722126
1981-09,-0.354881707,0.1778,-0.573632442,-0.128916999,-0.204149531
1981-10,-0.306977216,0.1709,-0.560854139,-0.136044821,-0.212036405
1981-11,-0.304541933,0.1572,-0.552400693,-0.136044821,-0.206788374
1981-12,-0.293325017,0.1546,-0.546543706,-0.116866925,-0.187512789
1982-01,-0.294998537,0.1525,-0.535741202,-0.133923648,-0.275109931
1982-02,-0.293823245,0.1456,-0.525873555,-0.142168375,-0.267125106
1982-03,-0.279168582,0.1572,-0.513669966,-0.128916999,-0.321674544
1982-04,-0.269579529,0.1681,-0.502413928,-0.129971727,-0.438904226
1982-05,-0.271457346,0.1641,-0.494455705,-0.132997048,-0.531952247
1982-06,-0.208014003,0.1598,-0.487348771,-0.130895526,-0.57051163
1982-07,-0.205408766,0.1505,-0.484198677,-0.160753691,-0.558546655
1982-08,-0.195727372,0.1458,-0.481058474,-0.160753691,-0.660887501
1982-09,-0.190960752,0.1411,-0.477164011,-0.153434701,-0.731747825
1982-10,-0.190637884,0.1391,-0.471713484,-0.146182296,-0.722156404
1982-11,-0.191434131,0.1318,-0.462455014,-0.152354947,-0.69895101
1982-12,-0.188891551,0.1288,-0.454044115,-0.148316224,-0.485165736
1983-01,-0.187377922,0.127,-0.444191331,-0.146182296,-0.321181518
1983-02,-0.187235438,0.1277,-0.437431618,-0.150333547,-0.450593335
1983-03,-0.131872347,0.1284,-0.427740377,-0.140034188,-0.516815503
1983-04,-0.130145016,0.1255,-0.415202386,-0.146182296,-0.374665012
1983-05,-0.130029348,0.1246,-0.408635184,-0.138037515,-0.36178126
1983-06,-0.128938309,0.126,-0.40283541,-0.138037515,-0.415674119
1983-07,-0.127049869,0.124,-0.394190524,-0.153434701,-0.282664863
1983-08,-0.12693042,0.1253,-0.388458153,-0.153434701,-0.263730771
1983-09,-0.118981737,0.1256,-0.380644828,-0.143103517,-0.272989081
1983-10,-0.118538484,0.1235,-0.372892077,-0.152354947,-0.269316413
1983-11,-0.116860291,0.1237,-0.368680195,-0.127863383,-0.263580501
1983-12,-0.109182049,0.1227,-0.36519897,-0.122873812,-0.302130611
1984-01,-0.11080433,0.1239,-0.358257596,-0.11882173,-0.32166427
1984-02,-0.104296218,0.1231,-0.352037811,-0.12182654,-0.328964702
1984-03,-0.103837608,0.1248,-0.345186884,-0.123922181,-0.276891391
1984-04,-0.107943476,0.1215,-0.339062403,-0.140034188,-0.259092546
1984-05,-0.10342844,0.1204,-0.333636662,-0.113889939,-0.241609708
1984-06,-0.10777987,0.1211,-0.328927803,-0.138037515,-0.237025528
1984-07,-0.10770266,0.1144,-0.322232863,-0.120911077,-0.209163335
1984-08,-0.107436266,0.1143,-0.316897429,-0.120911077,-0.197199385
1984-09,-0.107825364,0.1136,-0.312266556,-0.122873812,-0.193957069
1984-10,-0.099494774,0.1104,-0.305681875,-0.11882173,-0.187360073
1984-11,-0.109179419,0.1119,-0.302398596,-0.133923648,-0.183464718
1984-12,-0.11494311,0.1095,-0.300433791,-0.133923648,-0.248747667
1985-01,-0.11200734,0.1056,-0.295227257,-0.126153621,-0.246696238
1985-02,-0.109214298,0.1064,-0.29004769,-0.109227805,-0.228935208
1985-03,-0.114672721,0.1067,-0.282964066,-0.104844547,-0.221169944
1985-04,-0.105571677,0.1048,-0.275916389,-0.115955988,-0.193062303
1985-05,-0.114070375,0.1017,-0.270835633,-0.105874175,-0.159069061
1985-06,-0.115896874,0.1022,-0.267045374,-0.120518992,-0.127199485
1985-07,-0.114571012,0.0988,-0.263255723,-0.118300075,-0.132278802
1985-08,-0.112148114,0.0968,-0.26199569,-0.118300075,-0.176056683
1985-09,-0.11282267,0.0957,-0.260737243,-0.115955988,-0.153244309
1985-10,-0.114880808,0.0934,-0.257611665,-0.105874175,-0.147669092
1985-11,-0.113585295,0.0898,-0.255732835,-0.094873584,-0.127999101
1985-12,-0.106773684,0.0902,-0.25448224,-0.104844547,-0.009902442
1986-01,-0.109879777,0.0884,-0.253857529,-0.10035235,-0.02776792
1986-02,-0.10460117,0.0878,-0.25635872,-0.110391303,-0.009684327
1986-03,-0.104921382,0.083975,-0.253857529,-0.113760141,-0.013100649
1986-04,-0.070213069,0.08015,-0.25013096,-0.088272648,0.170228436
1986-05,-0.070701654,0.076325,-0.247645278,-0.119343658,0.171330337
1986-06,-0.06937921,0.0725,-0.24454684,-0.111556155,0.253078438
1986-07,-0.051204301,0.0728,-0.243323581,-0.110391303,0.183145452
1986-08,-0.042301967,0.0705,-0.2420884,-0.110391303,0.225669665
1986-09,-0.042167961,0.0709,-0.238391984,-0.10150556,0.224280944
1986-10,-0.069630035,0.0732,-0.235948611,-0.09258371,0.195665047
1986-11,-0.042344251,0.0729,-0.2347225,-0.107033775,0.149696505
1986-12,-0.027366267,0.078,-0.23349789,-0.10035235,0.158134808
