,lndem,r-mkt,lncpi,lnipsa,lntr
1980-01,-0.86732684,0.1643,-1.278936306,-0.238209252,-0.57357899
1980-02,-0.870091904,0.1722,-1.259830449,-0.222356872,-0.608609847
1980-03,-0.871256511,0.1732,-1.251725074,-0.197760163,-0.598733599
1980-04,-0.854381534,0.1681,-1.235784818,-0.214523934,-0.425425146
1980-05,-0.855849479,0.1673,-1.225272337,-0.238209252,-0.449320626
1980-06,-0.840437305,0.1691,-1.214906448,-0.247573869,-0.527584622
1980-07,-0.852310937,0.1696,-1.196975034,-0.276205681,-0.39762174
1980-08,-0.84193819,0.17,-1.186860708,-0.239541697,-0.447105011
1980-09,-0.842849408,0.1705,-1.166969362,-0.301417101,-0.47392535
1980-10,-0.849512967,0.1805,-1.149870116,-0.291536992,-0.455667166
1980-11,-0.844164705,0.1786,-1.128301566,-0.243549719,-0.421456739
1980-12,-0.84472344,0.1769,-1.116524546,-0.258384785,-0.411679749
1981-01,-0.847423523,0.1759,-1.097971759,-0.247573869,-0.457516987
1981-02,-0.830749975,0.1757,-1.079756916,-0.242211926,-0.526090231
1981-03,-0.796271838,0.181,-1.064074623,-0.243549719,-0.663728936
1981-04,-0.79823685,0.1976,-1.050843719,-0.24087592,-0.684665869
1981-05,-0.799185281,0.1975,-1.035604971,-0.23025165,-0.780187988
1981-06,-0.796790521,0.1992,-1.024864992,-0.231573527,-0.697318584
1981-07,-0.799977239,0.2011,-1.018451468,-0.247573869,-0.665756182
1981-08,-0.792205706,0.2025,-1.010014142,-0.257027011,-0.625211638
1981-09,-0.779506685,0.2032,-0.995380616,-0.243549719,-0.609147057
1981-10,-0.730782536,0.2048,-0.978927269,-0.243549719,-0.619393292
1981-11,-0.723134145,0.2058,-0.960717137,-0.235549676,-0.631731987
1981-12,-0.730999993,0.2077,-0.950748225,-0.272064889,-0.550218055
1982-01,-0.723416814,0.2094,-0.935007461,-0.227613126,-0.593300173
1982-02,-0.722248501,0.2097,-0.921424245,-0.252964717,-0.663550913
1982-03,-0.702510968,0.2073,-0.913736579,-0.270688426,-0.860522447
1982-04,-0.688421751,0.2067,-0.904223011,-0.23687858,-0.99486315
1982-05,-0.690100258,0.2071,-0.89293572,-0.277589765,-0.988491612
1982-06,-0.67596786,0.2067,-0.883617089,-0.308534569,-0.893646951
1982-07,-0.679033352,0.2045,-0.870709915,-0.272064889,-0.824152868
1982-08,-0.67361801,0.2014,-0.852562779,-0.291536992,-0.766418728
1982-09,-0.675169946,0.1933,-0.836497041,-0.287332361,-0.80522743
1982-10,-0.657683959,0.1905,-0.820685335,-0.298584238,-0.885911817
1982-11,-0.648880936,0.1919,-0.806851098,-0.315703058,-0.969413059
1982-12,-0.651069963,0.1905,-0.7999928,-0.304258012,-0.907068268
1983-01,-0.653209579,0.193,-0.786439976,-0.301417101,-0.831995634
1983-02,-0.649158267,0.1933,-0.773068377,-0.3056815,-0.851627505
1983-03,-0.618622816,0.1941,-0.763137951,-0.311395801,-0.898433698
1983-04,-0.620237343,0.1895,-0.753328633,-0.317142943,-0.776774579
1983-05,-0.62116772,0.1841,-0.743591367,-0.331656986,-0.742453448
1983-06,-0.622265114,0.1822,-0.738769623,-0.327280611,-0.637097146
1983-07,-0.623595395,0.1811,-0.730777043,-0.301417101,-0.55407966
