,lndem,r-mkt,lncpi,lnipsa,lntr
1980-01,-1.283377492,#N/A,-1.988360639,-0.513075205,-2.857111834
1980-02,-1.343395337,#N/A,-1.968817108,-0.539378996,-3.136649639
1980-03,-1.376093022,#N/A,-1.955064831,-0.525077353,-3.263196682
1980-04,-1.337132844,#N/A,-1.948219305,-0.543121843,-3.326282935
1980-05,-1.331356668,#N/A,-1.94956878,-0.550537052,-3.534598094
1980-06,-1.321008157,#N/A,-1.937881053,-0.529171618,-3.566970792
1980-07,-1.322092246,#N/A,-1.928114969,-0.536650532,-3.517415721
1980-08,-1.322677303,#N/A,-1.917981445,-0.573868433,-2.889660091
1980-09,-1.32414965,#N/A,-1.916212826,-0.578496375,-2.666829803
1980-10,-1.35136167,#N/A,-1.906198601,-0.520671375,-2.675274828
1980-11,-1.342655116,#N/A,-1.899678487,-0.535742696,-2.799938346
1980-12,-1.347965004,#N/A,-1.870852896,-0.522734831,-2.992186539
1981-01,-1.383400095,#N/A,-1.842763601,-0.54170499,-3.126803439
1981-02,-1.361734478,#N/A,-1.828235158,-0.498553284,-3.357595021
1981-03,-1.350812622,#N/A,-1.815511272,-0.522369307,-3.326781798
1981-04,-1.360625661,#N/A,-1.788170503,-0.5063272,-3.506107949
1981-05,-1.372528051,#N/A,-1.782374167,-0.506938777,-3.669399881
1981-06,-1.36937312,#N/A,-1.775542716,-0.544241831,-3.314776554
1981-07,-1.365854692,#N/A,-1.747375547,-0.530589235,-2.96306803
1981-08,-1.351973963,#N/A,-1.720422153,-0.571984831,-2.903997713
1981-09,-1.314232837,#N/A,-1.703945665,-0.469537709,-2.968664872
1981-10,-1.289501381,#N/A,-1.686086947,-0.481218456,-3.248359678
1981-11,-1.285242105,#N/A,-1.673652371,-0.486123054,-3.872159698
1981-12,-1.281439847,#N/A,-1.647885571,-0.551947662,-3.390715041
1982-01,-1.279901188,#N/A,-1.630241651,-0.441626854,-3.513998714
1982-02,-1.276161271,#N/A,-1.6013976,-0.478993839,-3.726052512
1982-03,-1.261541793,#N/A,-1.575873723,-0.409972972,-3.934320082
1982-04,-1.235231717,#N/A,-1.556706921,-0.447340286,-3.819467387
1982-05,-1.227010941,#N/A,-1.555795662,-0.510309152,-3.68401939
1982-06,-1.119647251,#N/A,-1.545773187,-0.423818462,-3.487743484
1982-07,-1.108750334,#N/A,-1.546675355,-0.42221363,-3.324372346
1982-08,-1.102460822,#N/A,-1.528993476,-0.464679092,-3.123323921
