,lndem,r-mkt,lncpi,lnipsa,lntr
1980-01,-0.798985463,0.11896,-1.210520609,-0.21634583,-0.944016794
1980-02,-0.80596095,0.12827,-1.201227628,-0.223736847,-1.00152426
1980-03,-0.821880162,0.16653,-1.19587107,-0.188747855,-1.08636055
1980-04,-0.767111308,0.16386,-1.186345078,-0.225221628,-1.08842512
1980-05,-0.768170829,0.19255,-1.179533362,-0.231182898,-1.066190155
1980-06,-0.753905541,0.1521,-1.164248748,-0.21781967,-1.073773282
1980-07,-0.743268823,0.13951,-1.150257014,-0.231182898,-0.9964295
1980-08,-0.734838822,0.14132,-1.138628157,-0.235677287,-0.967614551
1980-09,-0.730335577,0.1434,-1.127825905,-0.228197821,-0.995001018
1980-10,-0.765442508,0.15445,-1.120023615,-0.222254267,-1.02995005
1980-11,-0.743492365,0.16788,-1.109759745,-0.220773882,-1.058221183
1980-12,-0.738798403,0.18598,-1.095833544,-0.237179917,-1.067074846
1981-01,-0.774781083,0.17096,-1.075630166,-0.241701402,-1.092428749
1981-02,-0.731411225,0.13514,-1.070544269,-0.220773882,-1.123031559
1981-03,-0.735569383,0.12915,-1.050840475,-0.231182898,-1.158185919
1981-04,-0.742559199,0.13888,-1.040941617,-0.223736847,-1.18724624
1981-05,-0.761644504,0.16803,-1.036376557,-0.223736847,-1.243715001
1981-06,-0.755242731,0.18533,-1.035712557,-0.21634583,-1.19610667
1981-07,-0.75044669,0.16682,-1.016025834,-0.204632666,-1.163917814
1981-08,-0.746023992,0.17423,-1.00395003,-0.273937501,-1.1410123
1981-09,-0.712325118,0.17361,-0.996111398,-0.247762027,-1.115385495
1981-10,-0.6826261,0.17268,-0.984872948,-0.229689246,-1.110417231
1981-11,-0.681519429,0.18522,-0.976258136,-0.234176912,-1.127042194
1981-12,-0.672724628,0.10731,-0.961299834,-0.232678784,-1.160506202
1982-01,-0.686027988,0.14703,-0.940652403,-0.250806169,-1.172095435
1982-02,-0.670996688,0.14981,-0.932978999,-0.24928294,-1.224105485
1982-03,-0.649405312,0.15181,-0.92329981,-0.20754812,-1.309886585
1982-04,-0.645890753,0.12397,-0.910277989,-0.241701402,-1.310219766
1982-05,-0.639030847,0.17817,-0.895718387,-0.237179917,-1.349095521
1982-06,-0.629561756,0.22344,-0.886146581,-0.259994595,-1.372670323
