,Constant,month,lnnfd-eur,lnoil-eur,ffr,r-mkt-ger,lnipsa-ger,lneur-usd
1980-01,1,1,0.240685885,0.879763779,0.1382,0.0825,-0.112360226,0.192842493
1980-02,1,0,0.274840768,0.88311482,0.1413,0.0806,-0.113379877,0.21164111
1980-03,1,0,0.304087928,1.000431257,0.1719,0.0861,-0.122447439,0.303250628
1980-04,1,0,0.198686144,0.899903127,0.1761,0.0905,-0.132637443,0.228429417
1980-05,1,0,0.202140024,0.908659198,0.1098,0.098,-0.133664813,0.21951074
1980-06,1,0,0.189650476,0.887839384,0.0947,0.1004,-0.142919051,0.203709057
1980-07,1,0,0.252674498,0.868388865,0.0903,0.098,-0.137705489,0.218950673
1980-08,1,0,0.284087851,0.798461851,0.0961,0.0892,-0.135735931,0.222864572
1980-09,1,0,0.291889425,0.809942858,0.1087,0.0927,-0.171083848,0.233411437
1980-10,1,0,0.361587815,1.017193984,0.1281,0.0901,-0.165844233,0.286111803
1980-11,1,0,0.38015177,1.121369932,0.1585,0.0876,-0.149096316,0.294977571
1980-12,1,0,0.340349424,1.090186585,0.189,0.0916,-0.163709876,0.311966397
1981-01,1,1,0.399560597,1.158552271,0.1908,0.0909,-0.167983155,0.38953225
1981-02,1,0,0.370075746,1.113313398,0.1593,0.1038,-0.149096316,0.395654238
1981-03,1,0,0.34171253,1.091667017,0.147,0.1197,-0.153199959,0.38242153
1981-04,1,0,0.39555755,1.123376791,0.1572,0.1131,-0.162637621,0.434784661
1981-05,1,0,0.413142742,1.103890254,0.1852,0.1183,-0.156376402,0.484112142
1981-06,1,0,0.424537607,1.0777659,0.191,0.1193,-0.167983155,0.511243946
1981-07,1,0,0.443319985,1.109188675,0.1904,0.1198,-0.159562967,0.541724065
1981-08,1,0,0.424927928,1.10603012,0.1782,0.1197,-0.158495147,0.527011908
1981-09,1,0,0.367179858,1.054243667,0.1587,0.12,-0.155311977,0.482391712
1981-10,1,0,0.327005439,1.050322653,0.1508,0.113,-0.150154142,0.452238673
1981-11,1,0,0.306800276,1.071109491,0.1331,0.1081,-0.158495147,0.429806149
1981-12,1,0,0.317454228,1.089893197,0.1237,0.1058,-0.166919934,0.452682231
1982-01,1,1,0.360897797,1.11062434,0.1322,0.101,-0.162637621,0.476346788
1982-02,1,0,0.390888442,1.022408373,0.1478,0.1006,-0.170017327,0.509150581
1982-03,1,0,0.379623175,0.975355234,0.1468,0.0983,-0.160510091,0.52081738
1982-04,1,0,0.34653513,1.016061162,0.1494,0.0947,-0.162637621,0.486687251
1982-05,1,0,0.359749239,1.108311696,0.1445,0.0911,-0.162637621,0.49181766
1982-06,1,0,0.36284545,1.139299426,0.1415,0.0902,-0.187108461,0.539693608
1982-07,1,0,0.357008139,1.100716948,0.1259,0.0902,-0.221084797,0.537659019
1982-08,1,0,0.371503153,1.103702843,0.1012,0.0878,-0.200191701,0.554622269
1982-09,1,0,0.368869681,1.173235265,0.1031,0.0797,-0.204510935,0.566960734
1982-10,1,0,0.350571031,1.199063195,0.0971,0.0746,-0.215577275,0.58227016
1982-11,1,0,0.32610242,1.113351845,0.092,0.0702,-0.227765967,0.550609423
1982-12,1,0,0.29463183,1.021939403,0.0895,0.0615,-0.223345336,0.505371446
1983-01,1,1,0.340845136,1.064177533,0.0868,0.0585,-0.207854899,0.534803622
1983-02,1,0,0.340946482,1.001535942,0.0851,0.0574,-0.216693538,0.523712936
1983-03,1,0,0.349427255,0.976497702,0.0877,0.0551,-0.199093697,0.526188185
1983-04,1,0,0.390547222,1.036431806,0.088,0.0493,-0.189307335,0.538880269
1983-05,1,0,0.436507142,1.049768707,0.0863,0.0504,-0.195778854,0.563394255
1983-06,1,0,0.434869089,1.080088672,0.0898,0.0505,-0.162637621,0.572483431
1983-07,1,0,0.487316299,1.138114346,0.0937,0.0505,-0.208976779,0.61182518
1983-08,1,0,0.559777667,1.168334895,0.0956,0.0506,-0.199093697,0.635373268
1983-09,1,0,0.539154042,1.124423929,0.0945,0.0542,-0.173247728,0.609932315
1983-10,1,0,0.521426678,1.099056538,0.0948,0.0553,-0.176364813,0.604994034
1983-11,1,0,0.5412844,1.109599326,0.0934,0.0557,-0.163709876,0.631672302
1983-12,1,0,0.554046297,1.105466502,0.0947,0.0561,-0.143850534,0.641633646
1984-01,1,1,0.595496854,1.154346473,0.0956,0.0556,-0.156376402,0.674139217
1984-02,1,0,0.500320393,1.083823295,0.0959,0.0553,-0.146997371,0.597348737
1984-03,1,0,0.515994383,1.090636487,0.0991,0.0553,-0.162637621,0.591190134
1984-04,1,0,0.568852542,1.138096897,0.1029,0.0549,-0.170017327,0.639060588
1984-05,1,0,0.581883656,1.140079811,0.1032,0.0554,-0.162637621,0.644932165
1984-06,1,0,0.581167433,1.143996209,0.1106,0.0552,-0.26212794,0.663421
1984-07,1,0,0.553545813,1.14508056,0.1123,0.0556,-0.145942877,0.702862732
1984-08,1,0,0.537644264,1.152169091,0.1164,0.0552,-0.156376402,0.699750159
1984-09,1,0,0.564781574,1.204511701,0.113,0.0555,-0.135735931,0.746443349
1984-10,1,0,0.546453636,1.193620332,0.0999,0.0561,-0.139785001,0.748094877
1984-11,1,0,0.580682336,1.200603357,0.0943,0.0551,-0.131597976,0.769643214
1984-12,1,0,0.558145726,1.191236997,0.0838,0.0562,-0.125527537,0.786299588
1985-01,1,1,0.566230466,1.188138983,0.0835,0.0552,-0.125527537,0.792632732
1985-02,1,0,0.610551652,1.270272593,0.085,0.0578,-0.124495431,0.840400247
1985-03,1,0,0.538471713,1.211004816,0.0858,0.0585,-0.115409363,0.768673752
1985-04,1,0,0.557730689,1.207475942,0.0827,0.057,-0.126547625,0.767703349
1985-05,1,0,0.538636826,1.164029619,0.0797,0.0567,-0.114400569,0.767379672
1985-06,1,0,0.539258452,1.143410156,0.0753,0.0552,-0.102488706,0.758273918
1985-07,1,0,0.427562321,1.060273109,0.0788,0.0513,-0.09261249,0.664856751
1985-08,1,0,0.400252505,1.076843095,0.079,0.0477,-0.118467826,0.662702351
1985-09,1,0,0.336733423,1.050122478,0.0792,0.0459,-0.10640511,0.62161073
1985-10,1,0,0.335270077,1.057399498,0.0799,0.0454,-0.094600223,0.601560881
1985-11,1,0,0.314894873,1.047654049,0.0805,0.0461,-0.076067223,0.560611506
1985-12,1,0,0.328639163,0.940102028,0.0827,0.0464,-0.114400569,0.540100029
1986-01,1,1,0.309651941,0.729626848,0.0814,0.0458,-0.094600223,0.510407126
1986-02,1,0,0.227015338,0.34624073,0.0786,0.0459,-0.090628701,0.436588902
1986-03,1,0,0.278404365,0.140574523,0.0748,0.049,-0.088749629,0.480237003
1986-04,1,0,0.215447698,0.010958564,0.0699,0.0476,-0.083810293,0.422063
1986-05,1,0,0.270111098,0.193814606,0.0685,0.043,-0.093599532,0.478077641
1986-06,1,0,0.207197235,0.021388242,0.0692,0.0439,-0.088749629,0.427534969
1986-07,1,0,0.155524411,-0.217796502,0.0656,0.0461,-0.074103538,0.37860837
1986-08,1,0,0.137755188,0.068938094,0.0617,0.0449,-0.091613786,0.358347185
1986-09,1,0,0.127248312,0.097756428,0.0589,0.0439,-0.097481209,0.343124696
